"type","selection","phrase"
1,1,Our Jumpin’ Nightspot
1,1,the Hottest Spot in the City
1,1,the Friendliest Tavern in Town
1,1,the Place Where the Elite Meet
1,1,Our Exquisite Gastropub
1,1,Our Jammin’ Nightclub
1,2,Our Beautifying Elixir
1,2,the Secret to Lasting Beauty
1,2,the Key to a More Beautiful You
1,2,Our Scientific Beauty Formula
1,3,Our Top-Rated Experts
1,3,Our Expert Advisors
1,3,Our Team of Skilled Professionals
1,3,Our Attention to Detail
1,4,Sheer Delight in Liquid Form
1,4,Pure Refreshment
1,4,a Tasty Beverage
1,4,a Splash of Liquid Pleasure
1,4,a Tidal Wave of Taste
1,4,Liquid Ecstasy
1,5,Non-Stop Entertainment
1,5,a Rollicking Good Time
1,5,Family Fun
1,5,a Mind-Blowing Experience
1,6,the Latest Styles
1,6,the Season’s Hottest Looks
1,6,Something Cute
1,7,This Addictive Device
1,7,This Must-Have Gadget
1,7,a Fully Integrated Technology Solution
1,7,the Latest in High-Tech
1,7,a New Paradigm in Technological Achievement
1,8,Paradise
1,8,Heaven on Earth
1,8,Someplace Different
1,8,Someplace New
1,8,the Place for Non-Stop Fun
1,9,Confident Creative Solutions
1,9,Creative That Converts
1,9,Cool Designs and Stuff
1,9,Breakthrough Creative
1,10,Your One-Stop Shopping Destination
1,10,America’s Retail Giant
1,10,the Value Leader
1,10,the World’s Favorite Store
1,10,the Store That Has It All
1,11,an Essential Part of a Balanced Diet
1,11,a Taste Treat
1,11,a Taste Sensation
1,11,the Flavor of Deliciousness
1,12,Our Chef-Inspired Restaurant
1,12,a Pretty Good Eatin' Place
1,12,an Elegant Dining Experience
1,12,our Portal to Gastronomic Adventure
1,13,Me
1,13,a Very Special Person
1,13,the Person of Your Dreams
1,13,That Special Someone
1,13,the Right One
1,14,Our Online Home
1,14,the Only Website You’ll Need
1,14,Your Home on the World Wide Web
1,15,a Sweet Ride
1,15,Something That Will Move You
1,15,a Moving Experience
1,16,a Plaything
1,16,Fun for Kids of All Ages
1,16,the Thrill of Competition
1,16,the Game of Champions
1,17,Our Affordable Home Furnishings
1,17,Practical but Elegant Home Solutions
1,17,the Latest in Home Décor
1,17,an Easy Home Makeover
1,18,Something Wonderful
1,18,an Unexpected Surprise
1,18,Great Stuff
1,18,Neat Stuff
1,18,Something You’ll Love
2,1,Come on Down to
2,1,Hurry to
2,1,Visit
2,1,Drop by
2,1,Make Tracks to
2,1,Hasten to
2,1,Get Yourself to
2,2,Put the Moves on
2,2,Romance
2,2,Get to Know
2,2,Charm
2,2,Seduce
2,2,Attract
2,3,Download
2,3,Get
2,3,Install
2,3,Update
2,4,Guzzle Down
2,4,Enjoy a Drink of
2,4,Drink
2,4,Throw Back
2,4,Imbibe
2,4,Sip
2,5,Make a Meal Out of
2,5,Enjoy a Bite of
2,5,Feast on
2,5,Savor
2,5,Thrill Your Tastebuds with
2,6,Enjoy
2,6,Treat Yourself to
2,6,Delight Your Senses with
2,6,Delight in
2,6,Find Your Bliss with
2,6,Feel
2,6,Give Yourself the Gift of
2,7,Get the Inside Scoop on
2,7,Learn All About
2,7,Get the Skinny on
2,7,Stay in the Know About
2,7,Find More Details on
2,8,Follow
2,8,Like
2,8,Join the Conversation with
2,8,Keep Up with
2,9,Get
2,9,Buy
2,9,Go Home with
2,9,Take Home
2,10,Tell a Friend About
2,10,Share the Gift of
2,10,Grab a Friend and Enjoy
2,10,Spread the Word About
2,11,Experience
2,11,Try
2,11,Use
2,11,Check Out
2,11,Utilize
2,11,Implement
2,12,Put On
2,12,Look Your Best in
2,12,Show Off
2,12,Sport
2,12,Adorn Yourself in
2,12,Look Fabulous in
3,1,for Less
3,1,and Save
3,1,— Without Breaking the Bank
3,2,for Less!!!
3,2,and Save!!!
3,3,and Simplify Your Life
3,3,with Ease
3,3,for the Convenience You Deserve
3,3,More Easily Than Ever
3,3,Without the Hassle
3,3,Without Breaking a Sweat
3,3,at the Touch of a Button
3,4,and Cherish the Memories
3,4,and Have the Time of Your Life
3,4,for Maximum Joy
3,4,for Non-Stop Laughs
3,5,for a Youthful Glow
3,5,and Get Noticed
3,5,and Get Results That Last
3,5,and Defy the Aging Process
3,5,and Rejuvenate Yourself
3,5,and Look like a Million Bucks
3,6,for Added Brain Power
3,6,and Get Smart!
3,6,and Stay “In-the-Know”
3,6,for a Smarter You
3,6,and Stay Well Informed
3,7,and Get Happier
3,7,and Be More Confident
3,7,and Get a New Attitude
3,7,for the Happiness You Deserve
3,7,and Start Living Again
3,8,for Increased Vitality
3,8,and Feel Healthier
3,8,and Be Who You Were Meant to Be
3,8,and Feel Younger
3,8,and Feel More Alive
3,8,"for a Longer, Healthier Life"
3,8,and Live Better
3,8,and Stay Strong
3,9,for Pure Delectability
3,9,for Mouthwatering Ecstasy
3,9,and Experience the Yumminess
3,9,and Satisfy Your Flavor Craving
3,9,and Savor the Flavor
3,9,for a Party in Your Mouth
3,10,and Get More Done
3,10,and See Real Results
3,10,and Maximize Your Results
3,10,and Exceed Your Expectations
3,11,and Refresh Yourself
3,11,and Gain a New Vitality
3,11,and Feel Re-eneregized
3,11,for Enhanced Endurance
3,11,and Maximize Your Performance
3,12,for Intimate Excitement
3,12,and Share the Love
3,12,and Make a Lasting Connection
3,12,and Find True Love
3,12,and Experience Uncommon Pleasure
3,13,and Show Them All 
3,13,and Get Noticed
3,13,and Turn Heads
3,13,and Steal the Spotlight
4,1,.
4,2,— Soon!
4,3,— Today!
4,4,— Today!
